"Location","Product","Category","Strain","Type","Remaining Count","Usable","Inventory ID","External Barcode","Expiration Date","CostPerUnit","TotalCost","ValuePerUnit","TotalValue","PotentitalProfitPerUnit","TotalPotentialProfit","PostTaxValuePerUnit","PostTaxTotalValue","Grade","RoomData","TotalOnHand Count","Days","Description","TotalOnHand Weight","Remaining Weight","Batch Number","CBD","CBDA","CBN","THC","THCA","Total","THC: ","CBD:","Custom_3 ","Test Date:"
"Bold Team LLC","Banana Hammock - 1/8th","Flower - 1/8th","Banana Hammock","Usable Marijuana","38.00","3.500","M 00026C 14 28 9699844","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 38","38.00","11","","133.00","133.00","","","0.046","","0.376","19.458","17.481008","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/2- Oz","Flower - 1/2oz","Blueberry Mandarin Cookies","Usable Marijuana","32.00","14.000","M 00026C 14 28 3269601","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 32","32.00","4","","448.00","448.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/8th","Flower - 1/8th","Blueberry Mandarin Cookies","Usable Marijuana","128.00","3.500","M 00026C 14 28 0416706","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/8th","Flower - 1/8th","Blueberry Mandarin Cookies","Usable Marijuana","128.00","3.500","M 00026C 14 28 8961727","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/8th","Flower - 1/8th","Blueberry Mandarin Cookies","Usable Marijuana","128.00","3.500","M 00026C 14 28 6289588","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/8th","Flower - 1/8th","Blueberry Mandarin Cookies","Usable Marijuana","76.00","3.500","M 00026C 14 28 2934360","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 76","76.00","4","","266.00","266.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/8th","Flower - 1/8th","Blueberry Mandarin Cookies","Usable Marijuana","128.00","3.500","M 00026C 14 28 7744770","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/8th","Flower - 1/8th","Blueberry Mandarin Cookies","Usable Marijuana","128.00","3.500","M 00026C 14 28 0312603","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Blueberry Mandarin Cookies- 1/8th","Flower - 1/8th","Blueberry Mandarin Cookies","Usable Marijuana","128.00","3.500","M 00026C 14 28 1328314","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.014","","0.412","22.205","19.898063","","","",""
"Bold Team LLC","Cali Kush Haze 3.5g","Flower - 1/8th","Cali Kush Haze","Usable Marijuana","128.00","3.500","M 00026C 14 28 6619895","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.082","","0.927","22.437","20.676163","","","",""
"Bold Team LLC","Cali Kush Haze 3.5g","Flower - 1/8th","Cali Kush Haze","Usable Marijuana","128.00","3.500","M 00026C 14 28 3651916","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 128","128.00","4","","448.00","448.00","","","0.082","","0.927","22.437","20.676163","","","",""
"Bold Team LLC","Cali Kush Haze 3.5g","Flower - 1/8th","Cali Kush Haze","Usable Marijuana","61.00","3.500","M 00026C 14 28 6908462","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","Available - Flower - Packaged - Green Room: 61","61.00","4","","213.50","213.50","","","0.087","","0.923","22.718","20.922985","","","",""
